㔂	lân
桌頂	toh-tíng
桌頭	toh-thâu
桐油	tâng-iû
桑材	sng-tsâi
桔	kiat
桔仔	kiat-á
桔仔汁	kiat-á-tsiap
桔仔餅	kiat-á-piánn
桮	pue
桱	kènn
桱	kìnn
桱仔	kènn-á
桱仔	kìnn-á
桶	tháng
桶仔	tháng-á
桶捾	tháng-kuānn
桶柑	thóng-kam
年柑    nî-kam
桶盤	tháng-puânn
桶筍	tháng-sún
桶箍	tháng-khoo
桶蓋	tháng-kuà
桷	kak
楹  ênn
桷仔	kak-á
桸	hia
桿	kuáinn
梁柱	niû-thiāu
梅	muê
梅	m̂
梅仔	muê-á
梅仔	m̂-á
梅仔茶	muê-á-tê
梅仔餅	muê-á-piánn
梅仔餅	m̂-á-piánn
梅毒	muî-to̍k
梅花	muî-hue
條	liâu
條件	tiâu-kiānn
條款	tiâu-khuán
條直	tiâu-ti̍t
條約	tiâu-iok
梟雄	hiau-hiông
梢	sau
梢梢	sau-sau
梢聲	sau-siann
梧桐	ngôo-tông
梨	lâi
梨仔	lâi-á
梯	thui
梳	se
梳	sue
梳妝打扮	se-tsng-tánn-pān
梳妝打扮	sue-tsng-tánn-pān
梳頭	se-thâu
梳頭	sue-thâu
棄世	khì-sè
棄嫌	khì-hiâm
棄權	khì-khuân
棉	mî
棉仔	mî-á
棉仔枝	mî-á-ki
棉紗	mî-se
棉裘	mî-hiû
棉襀	mî-tsioh
棉襀被	mî-tsioh-phuē
棉襀被	mî-tsioh-phē
棋	kî
棋子	kî-jí
棋子	kî-lí
棋盤	kî-puânn
棍仔	kùn-á
棑仔頭	pâi-á-thâu
棒球	pāng-kiû
棕	tsang
棕筅仔	tsang-tshíng-á
棕蓑	tsang-sui
棕鑢仔	tsang-lù-á
棗	tsó
棗仔	tsó-á
棚	pênn
棚	pînn
棟	tòng
棧間	tsàn-king
棺木	kuan-bo̍k
棺柴	kuann-tshâ
椅	í
椅仔	í-á
椅墊仔	í-tiām-á
椅桌	í-toh
椅條	í-liâu
椅苴	í-tsū
椅轎	í-kiō
椅頭仔	í-thâu-á
植物	si̍t-bu̍t
椏	ue
椪柑	phòng-kam
椰	iâ
椰子    iâ-tsí
椰子	iâ-tsí
楊桃	iûnn-tô
楓	png
楓仔	png-á
楓仔樹	png-á-tshiū
楔	seh
楔後手	seh-āu-tshiú
楔手縫	seh-tshiú-phāng
楔空	seh-khang
楔縫	seh-phāng
楗	kīng
楞	gông
楠	lâm
楠仔	lâm-á
楦	hùn
楬仔	at-á
業	gia̍p
業債	gia̍p-tsè
業務	gia̍p-bū
業務員	gia̍p-bū-uân
極加	ki̍k-ke
極端	ki̍k-tuan
楹仔	ênn-á
概尺	kài-tshioh
概論	kài-lūn
榕	tshîng
榕仔	tshîng-á
榨菜	tsà-tshài
榫	sún
榫空	sún-khang
榫頭	sún-thâu
榮幸	îng-hīng
榴槤	liû-liân
槌	thuî
槌仔	thuî-á
槌槌	thuî-thuî
槍	tshiunn
槓	kǹg
槓仔	kǹg-á
槳	tsiúnn
槳仔	tsiúnn-á
槺榔	khong-lông
槽	tsô
槽頭	tsô-thâu
樂	ga̍k
樂園	lo̍k-hn̂g
樂暢	lo̍k-thiòng
樂觀	lo̍k-kuan
樂跎	lo̍k-tô
樂隊	ga̍k-tuī
樓	lâu
樓仔	lâu-á
樓仔厝	lâu-á-tshù
樓尾頂	lâu-bué-tíng
樓尾頂	lâu-bé-tíng
樓栱	lâu-kông
樓梯	lâu-thui
樓跤	lâu-kha
樓頂	lâu-tíng
標	piau
標會仔	pio-huē-á
標會仔	pio-hē-á
標本	piau-pún
標準	piau-tsún
標致	phiau-tì
標頭	phiau-thâu
樟	tsiunn
樟仔	tsiunn-á
樟腦	tsiunn-ló
樠	miâ
模	bôo
模樣	bôo-iūnn
模範	bôo-huān
樣	iūnn
樸實	phoh-si̍t
樹	tshiū
樹仔	tshiū-á
樹奶	tshiū-ling
樹奶	tshiū-ni
樹奶束仔	tshiū-ling-sok-á
樹奶束仔	tshiū-ni-sok-á
樹奶糖	tshiū-ling-thn̂g
樹奶糖	tshiū-ni-thn̂g
樹子	tshiū-tsí
樹尾	tshiū-bué
樹尾	tshiū-bé
樹木	tshiū-ba̍k
樹林	tshiū-nâ
樹枝	tshiū-ki
樹根	tshiū-kin
樹根	tshiū-kun
樹栽	tshiū-tsai
樹梅	tshiū-m̂
樹椏	tshiū-ue
樹絡	tshiū-le
樹蔭	tshiū-ńg
樹薯	tshiū-tsî
樹薯	tshiū-tsû
樹豆	tshiū-tāu
樹身	tshiū-sin
樹頭	tshiū-thâu
橄欖	kan-ná
橋	kiô
橋墩	kiô-tun
橋跤	kiô-kha
橋頂	kiô-tíng
橋頭	kiô-thâu
橐	lok
橐仔	lok-á
橐袋仔	lak-tē-á
橛	kue̍h
機器	ki-khì
機器桶	ki-khì-tháng
機場	ki-tiûnn
機密	ki-bi̍t
機會	ki-huē
機械	ki-hāi
機關	ki-kuan
機關銃	ki-kuan-tshìng
橫	huâinn
直  ti̍t
橫扴	huâinn-ke̍h
橫扴	huînn-ke̍h
橫直	huâinn-ti̍t
橫直	huînn-ti̍t
橫財	huâinn-tsâi
橫財	huînn-tsâi
橫逆	hîng-gi̍k
橫霸霸	huâinn-pà-pà
橫霸霸	huînn-pà-pà
檀	tuânn
檔	tóng
檔案	tóng-àn
檠	kiânn
檢定	kiám-tīng
檢察官	kiám-tshat-kuann
檢查	kiám-tsa
檢舉	kiám-kí
檢舉	kiám-kú
檢討	kiám-thó
檢采	kiám-tshái
檢驗	kiám-giām
檢點	kiám-tiám
檨	suāinn
檨仔	suāinn-á
檨仔青	suāinn-á-tshenn
檨仔青	suāinn-á-tshinn
檫仔	tshat-á
檳榔	pin-nn̂g
檸檬	lê-bóng
櫃	kuī
櫓	lóo
櫥	tû
櫥仔	tû-á
櫳	lang
櫳仔	lông-á
櫳仔內	lông-á-lāi
櫻桃	ing-thô
櫻花	ing-hue
櫼	tsinn
欄	nuâ
欄杆	lân-kan
欉	tsâng
權	khuân
權利	khuân-lī
權力	khuân-li̍k
權威	khuân-ui
權限	khuân-hān
欠	khiàm
欠債	khiàm-tsè
欠安	khiàm-an
欠數	khiàm-siàu
欠用	khiàm-īng
欠缺	khiàm-khueh
欠缺	khiàm-kheh
欠血	khiàm-hueh
欠血	khiàm-huih
次	tshù
欣羨	him-siān
欣賞	him-sióng
欱	hap
欲	beh
欲	bueh
欲呢	beh-nî
欲呢	bueh-nî
欲晝仔	beh-tàu-á
欲晝仔	bueh-tàu-á
欲暗仔	beh-àm-á
欲暗仔	bueh-àm-á
欲死欲活	beh-sí-beh-ua̍h
欲死欲活	bueh-sí-bueh-ua̍h
欲知	beh-tsai
欲知	bueh-tsai
欶	suh
欶奶	suh ling
欶奶	suh ni
欶水	suh tsuí
欶管	suh-kóng
欹空	khia-khang
欺	khi
欺瞞	khi-muâ
欺負	khi-hū
欺貧重富	khi-pîn-tiōng-hù
款	khuán
款勸	khuán-khǹg
款待	khuán-thāi
歁	khám
歁歁	khám-khám
歁話	khám-uē
歁頭歁面	khám-thâu-khám-bīn
歇	hioh
歇冬	hioh-tang
歇喘	hioh-tshuán
歇寒	hioh-kuânn
歇工	hioh-kang
歇晝	hioh-tàu
歇暗	hioh-àm
歇暝	hioh-mê
歇暝	hioh-mî
歇涼	hioh-liâng
歇熱	hioh-jua̍h
歇熱	hioh-lua̍h
歇睏	hioh-khùn
歇睏日	hioh-khùn-ji̍t
歇睏日	hioh-khùn-li̍t
歇睏時仔	hioh-khùn-sî-á
歌	ko
歌仔	kua-á
歌仔先	kua-á sing
歌仔冊  kua-á-tsheh
歌仔冊	kua-á-tsheh
歌仔戲	kua-á-hì
歌手	kua-tshiú
歌曲	kua-khik
歌舞團	kua-bú-thuân
歌詩	kua-si
詩歌    si-kua
歌謠    kua-iâu
四句聯  sì-kù-liân
歌謠	kua-iâu
歕	pûn
歕火	pûn-hué
歕火	pûn-hé
歕觱仔	pûn pi-á
歕雞胿	pûn-ke-kui
歕雞胿	pûn-kue-kui
歕雞胿仔	pûn ke-kui-á
歕雞胿仔	pûn kue-kui-á
歕風	pûn-hong
歡喜	huann-hí
歡歡喜喜	huann-huann-hí-hí
歡迎	huan-gîng
歡送	huan-sàng
歡頭喜面	huann-thâu-hí-bīn
止	tsí
止喙焦	tsí tshuì-ta
止嗽	tsí-sàu
止枵	tsí-iau
止疼	tsí-thiànn
止血	tsí-hueh
止血	tsí-huih
正	tsiànn
正式	tsìng-sik
正手	tsiànn-tshiú
正手爿	tsiànn-tshiú-pîng
正月	tsiann--gue̍h
正月	tsiann--ge̍h
正月正時	tsiann-gue̍h-tsiann-sî
正月正時	tsiann-ge̍h-tsiann-sî
正本	tsiànn-pún
正派	tsìng-phài
正港	tsiànn-káng
正爿	tsiànn-pîng
正當	tsìng-tong
正當時	tsiànn-tong-sî
正範	tsiànn-pān
正統	tsìng-thóng
正經	tsìng-king
正義	tsìng-gī
正著時	tsiànn-tio̍h-sî
正路	tsiànn-lōo
正身	tsiànn-sin
正途	tsìng-tôo
正門	tsiànn-mn̂g
正面	tsiànn-bīn
正音	tsiànn-im
正頓	tsiànn-tǹg
此	tshú
步	pōo
步數	pōo-sòo
步輦	pōo-lián
步頻	pōo-pîn
武	bú
武器	bú-khì
武市	bú-tshī
武生	bú-sing
武藝	bú-gē
武車	bú-tshia
歪	uai
歪哥	uai-ko
歪喙	uai-tshuì
歪斜	uai-tshua̍h
歪膏揤斜	uai-ko-tshi̍h-tshua̍h
歲	huè
歲	hè
歲壽	huè-siū
歲壽	hè-siū
歲頭	huè-thâu
歲頭	hè-thâu
歷史	li̍k-sú
歸	kui
歸尾	kui-bué
歸尾	kui-bé
歹	pháinn
歹人	pháinn-lâng
歹代	pháinn-tāi
歹價	pháinn-kè
歹價	phái-kè
歹剃頭	pháinn-thì-thâu
歹勢	pháinn-sè
歹吉兆	pháinn-kiat-tiāu
歹吉兆	phái-kiat-tiāu
歹命	pháinn-miā
歹命人	pháinn-miā-lâng
歹喙	pháinn-tshuì
歹喙斗	pháinn-tshuì-táu
歹囝	pháinn-kiánn
歹天	pháinn-thinn
歹年冬	pháinn-nî-tang
歹心	pháinn-sim
歹性地	pháinn-sìng-tē
歹性地	pháinn-sìng-tuē
歹意	pháinn-ì
歹手爪	pháinn-tshiú-jiáu
歹手爪	pháinn-tshiú-niáu
歹扭搦	pháinn-liú-la̍k
歹日	pháinn-ji̍t
歹日	phái-li̍t
歹款	pháinn-khuán
歹死	pháinn-sí
歹物	pháinn-mi̍h
歹物	pháinn-mn̍gh
歹物仔	pháinn-mih-á
歹症頭	pháinn-tsìng-thâu
歹癖	pháinn-phiah
歹看	pháinn-khuànn
歹看相	pháinn-khuànn-siùnn
歹看面	pháinn-khuànn-bīn
歹看面	phái-khuànn-bīn
歹睏	pháinn-khùn
歹積德	pháinn-tsik-tik
歹空	pháinn-khang
歹紡	pháinn-pháng
歹紡	phái-pháng
歹聲嗽	pháinn-siann-sàu
歹聽	pháinn-thiann
歹育飼	pháinn-io-tshī
歹腹肚	pháinn-pak-tóo
歹話	pháinn-uē
歹講	pháinn-kóng
歹路	pháinn-lōo
歹運	pháinn-ūn
歹銅舊錫	pháinn-tâng-kū-siah
歹面	pháinn-bīn
歹面	phái-bīn
歹面相看	pháinn-bīn-sio-khuànn
歹面相看	phái-bīn-sio-khuànn
歹食	pháinn-tsia̍h
歹𤆬頭	pháinn-tshuā-thâu
死	sí
死亡	sí-bông
死人	sí-lâng
死人款	sí-lâng-khuán
死人面	sí-lâng-bīn
死刑	sí-hîng
死囡仔	sí-gín-á
死囡仔䖙	sí-gín-á-the
死囡仔脯	sí-gín-á-póo
死坐活食	sí-tsē-ua̍h-tsia̍h
死心	sí-sim
死忠	sí-tiong
死性	sí-sìng
死會	sí-huē
死會	sí-hē
死板	sí-pán
死殗殗	sí-giān-giān
死泉	sí-tsuânn
死活	sí-ua̍h
死症	sí-tsìng
死目	sí-ba̍k
死窟仔水	sí-khut-á-tsuí
死結	sí-kat
死絕	sí-tse̍h
死罪	sí-tsuē
死肉	sí-bah
死諍	sí-tsènn
死諍	sí-tsìnn
死豬仔價	sí-ti-á-kè
死豬仔價	sí-tu-á-kè
死賴人	sí-luā--lâng
死趖	sí-sô
死路	sí-lōo
死路旁	sí-lōo-pông
死錢	sí-tsînn
死體	sí-thé
死鹹	sí-kiâm
殕	phú
殕殕	phú-phú
殕色	phú-sik
殘忍	tsân-jím
殘忍	tsân-lím
殘殘	tshân-tshân
殘酷	tsân-khok
殭屍	khiong-si
段	tuānn
殺	sat
殺害	sat-hāi
殺手	sat-tshiú
殺氣	sat-khì
殺生	sat-sing
殼	khak
殼仔絃	khak-á-hiân
毀	huí
毋	m̄
毋但	m̄-nā
毋值	m̄-ta̍t
毋免	m̄-bián
毋准	m̄-tsún
毋好	m̄ hó
毋好勢	m̄ hó-sè
毋就	m̄-tō
毋情願	m̄-tsîng-guān
毋成	m̄-tsiânn
毋成人	m̄-tsiânn-lâng
毋成囝	m̄-tsiânn-kiánn
毋成囡仔	m̄-tsiânn-gín-á
毋成樣	m̄-tsiânn-iūnn
毋成物	m̄-tsiânn-mi̍h
毋成物	m̄-tsiânn-mn̍gh
毋成猴	m̄-tsiânn-kâu
不像樣  m̄-tsiânn-lâng
毋成人  m̄-tsiânn-lâng
毋才	m̄-tsiah
毋拄好	m̄-tú-hó
毋挃	m̄-ti̍h
毋捌	m̄ bat
毋敢	m̄ kánn
毋是	m̄ sī
毋是勢	m̄-sī-sè
毋是款	m̄-sī-khuán
毋甘	m̄-kam
毋甘嫌	m̄-kam hiâm
毋甘願	m̄ kam-guān
毋知	m̄ tsai
毋知人	m̄-tsai-lâng
毋知影	m̄ tsai-iánn
毋知死	m̄-tsai-sí
毋管	m̄-kuán
毋著	m̄-tio̍h
毋通	m̄-thang
毋過	m̄-koh
毋願	m̄-guān
毋驚	m̄ kiann
母	bió
母仔囝	bú-á-kiánn
母囝椅	bú-kiánn-í
母妗	a-kīm
阿妗    a-kīm
母校	bú-hāu
母的	bó--ê
母舅	a-kū
阿舅    a-kū
母舅公	bú-kū-kong
母親	bú-tshin
母身	bó-sin
母金	bó-kim
母錢	bú-tsînn
母體	bú-thé
每	muí
每年	muí-nî
每日	muí-ji̍t
每日	muí-li̍t
毒	to̍k
毒手	to̍k-tshiú
毒藥	to̍k-io̍h
毒計	to̍k-kè
比	pí
比並	pí-phīng
比喻	pí-jū
比喻	pí-lū
比武	pí-bú
比論	pí-lūn
比賽	pí-sài
比較	pí-kàu
毛	mn̂g
毛呼	môo-honn
毛尾仔	mn̂g-bué-á
毛尾仔	mn̂g-bé-á
毛毯	môo-thán
毛病	môo-pēnn
毛病	môo-pīnn
毛管	mn̂g-kńg
毛管	môo-kńg
毛蟹	môo-hē
毛跤	mn̂g-kha
毯	thán
毯仔	thán-á
氏	sī
民	bîn
民主	bîn-tsú
民事	bîn-sū
民俗	bîn-sio̍k
民心	bîn-sim
民意	bîn-ì
民族	bîn-tso̍k
民營化	bîn-îng-huà
民眾	bîn-tsiòng
民謠	bîn-iâu
民間	bîn-kan
氣	khì
氣力	khuì-la̍t
氣口	khuì-kháu
氣味	khì-bī
氣壓	khì-ap
氣怫怫	khì-phut-phut
氣掣掣	khì-tshuah-tshuah
氣數	khì-sòo
氣暢忍	khì-thiòng-lún
氣概	khì-khài
氣氛	khì-hun
氣象	khì-siōng
氣身惱命	khì-sin-lóo-miā
氣運	khì-ūn
氣魄	khì-phik
水	tsuí
水井	tsuí-tsénn
水井	tsuí-tsínn
水仙	tsuí-sian
水土	tsuí-thóo
水圳	tsuí-tsùn
水尺	tsuí-tshioh
水崩山	tsuí-pang-suann
水庫	tsuí-khòo
水拹仔	tsuí-hia̍p-á
水晶	tsuí-tsinn
水果	tsuí-kó
水梨仔	tsuí-lâi-á
水槽	tsuí-tsô
水櫃	tsuí-kuī
水母	tsuí-bú
海䖳    hái-thē
水氣	tsuí-khì
水沖	tsuí-tshiâng
水泉	tsuí-tsuânn
水泱	tsuí-iann
水浸粿	tsuí-tsìm-kué
水浸粿	tsuí-tsìm-ké
水源頭	tsuí-guân-thâu
水準	tsuí-tsún
水溝	tsuí-kau
水濺仔	tsuí-tsuānn-á
水災	tsuí-tsai
水燈	tsuí-ting
水牛	tsuí-gû
水獺	tsuí-thuah
水珠	tsuí-tsu
水產	tsuí-sán
水田	tsuí-tshân
水疱	tsuí-phā
水碓	tsuí-tuì
水租	tsuí-tsoo
水窟仔	tsuí-khut-á
水筆仔	tsuí-pit-á
水管	tsuí-kóng
水紅仔色	tsuí-âng-á-sik
水脈	tsuí-me̍h
水芋仔	tsuí-ōo-á
水蕹菜	tsuí-ìng-tshài
水薰吹	tsuí-hun-tshue
水薰吹	tsuí-hun-tshe
水薸	tsuí-phiô
水蜜桃	tsuí-bi̍t-thô
水螺	tsuí-lê
水觳仔	tsuí-khok-á
水貨	tsuí-huè
水貨	tsuí-hè
水跤	tsuí-kha
水車	tsuí-tshia
水道	tsuí-tō
水道水	tsuí-tō-tsuí
水道頭	tsuí-tō-thâu
水鉎	tsuí-sian
水銀	tsuí-gîn
水銀	tsuí-gûn
水門	tsuí-mn̂g
水閘	tsuí-tsa̍h
水雞	tsuí-kue
四跤仔  sì-kha-á
青蛙  sì-kha-á
水雞泅	tsuí-ke-siû
水雞泅	tsuí-kue-siû
水電	tsuí-tiān
水頭	tsuí-thâu
水餃	tsuí-kiáu
水鴛鴦	tsuí-uan-iunn
水鴨	tsuí-ah
水龍	tsuí-lîng
水龍車	tsuí-lîng-tshia
水龜	tsuí-ku
永遠	íng-uán
汁	tsiap
求	kiû
求情	kiû-tsîng
求神問佛	kiû-sîn-mn̄g-pu̍t
汗	kuānn
江	kang
江湖	kang-ôo
池	tî
汫	tsiánn
汫水	tsiánn-tsuí
汫水魚	tsiánn-tsuí-hî
汫水魚	tsiánn-tsuí-hû
汰	thài
汰衫	thuā-sann
決心	kuat-sim
汽水	khì-tsuí
沃	ak
沃水	ak-tsuí
沃澹	ak-tâm
沃肥	ak-puî
沃花	ak-hue
沃雨	ak-hōo
沉	tîm
沉底	tîm-té
沉底	tîm-tué
沉重	tîm-tāng
沐	bak
沐手	bak-tshiú
沐水	bak tsuí
沐沐泅	bo̍k-bo̍k-siû
沒收	bu̍t-siu
沓	bān-bān-á
緩緩地  bān-bān-á
慢慢地  bān-bān-á
沓沓仔	ta̍uh-ta̍uh-á
沓沓滴滴	ta̍p-ta̍p-tih-tih
沓滴	ta̍p-tih
沕	bi̍t
沖	tshiâng
沖水	tshiâng-tsuí
沖沖滾	tshiâng-tshiâng-kún
沖犯	tshiong-huān
沙	sua
沙埔	sua-poo
沙屑	sua-sap
沙崙	sua-lūn
沙微	sa-bui
沙拉油	sa-lá-iû
沙挑	sua-thio
沙沙	sua-sua
沙漠	sua-bo̍k
沙線	sua-suànn
沙耙	sua-pê
沙茶	sa-te
沙龍巴斯	sa-long-pa-suh
沫	phue̍h
沫	phe̍h
沬	bī
河	hô
河溪	hô-khe
河溪	hô-khue
油	iû
油垢	iû-káu
油抽	iû-thiu
油水	iû-tsuí
油洗洗	iû-sé-sé
油洗洗	iû-sué-sué
油滓	iû-tái
油漏仔	iû-lāu-á
油炸粿	iû-tsia̍h-kué
油炸粿	iû-tsia̍h-ké
油筒仔	iû-tâng-á
油紙	iû-tsuá
油肭肭	iû-leh-leh
油臊	iû-tsho
油菜	iû-tshài
油蔥	iû-tshang
油蔥粿	iû-tshang-kué
油蔥粿	iû-tshang-ké
油車	iû-tshia
油車間	iû-tshia-king
油飯	iû-pn̄g
油魚	iû-hî
油魚	iû-hû
治	tī
治安	tī-an
治枵	tī-iau
治病	tī-pēnn
治病	tī-pīnn
治療	tī-liâu
治罪	tī-tsuē
沾	tsam
沿	iân
沿海	iân-hái
沿路	iân-lōo
泄	tshuā
泄尿	tshuā-jiō
泄尿	tshuā-liō
泅	siû
泅水	siû-tsuí
泉	tsuân
泉水	tsuânn-tsuí
泉源	tsuân-guân
泏	tsuh
泔	ám
泔糜仔	ám-muê-á
泔糜仔	ám-bê-á
法	huat
法令	huat-līng
法力	huat-li̍k
法場	huat-tiûnn
法官	huat-kuann
法師	huat-su
法度	huat-tōo
法律	huat-lu̍t
法術	huat-su̍t
法醫	huat-i
泡	phàu
泡茶	phàu tê
泡麵	phàu-mī
波	pho
注	tsù
注射	tsù-siā
注意	tsù-ì
注文	tsù-bûn
注目	tsù-bo̍k
注音	tsù-im
泰國菝仔	Thài-kok-pua̍t-á
洋	iûnn
洋服	iûnn-ho̍k
洋樓	iûnn-lâu
洋蔥	iûnn-tshang
洋裝	iûnn-tsong
洒	sè
洗	sé
洗	sué
洗喙	sé-tshuì
洗喙	sué-tshuì
洗汰	sé-thuā
洗汰	sué-thuā
洗浴	sé-i̍k
洗浴	sué-i̍k
洗盪	sé-tn̄g
洗盪	sué-tn̄g
洗石仔	sé-tsio̍h-á
洗石仔	sué-tsio̍h-á
洗衫	sé-sann
洗衫	sué-sann
洗衫店	sé-sann-tiàm
洗衫店	sué-sann-tiàm
洗衫枋	sé-sann-pang
洗衫枋	sué-sann-pang
洗身軀	sé-sin-khu
洗身軀	sué-sin-khu
洗身軀間	sé-sin-khu-king
洗身軀間	sué-sin-khu-king
洗門風	sé-mn̂g-hong
洗門風	sué-mn̂g-hong
洗面	sé-bīn
洗面	sué-bīn
洘	khó
洘旱	khó-huānn
洘流	khó-lâu
洘秫秫	khó-tsu̍t-tsu̍t
洘頭糜	khó-thâu-muê
洘頭糜	khó-thâu-bê
洞	tōng
洞房	tōng-pông
洞簫	tōng-siau
津	tin
津貼	tin-thiap
洩	sia̍p
洩水	sia̍p-tsuí
洲	tsiu
活	ua̍h
活動	ua̍h-tāng
活會	ua̍h-huē
活會	ua̍h-hē
活欲	ua̍h-beh
活欲	ua̍h-bueh
活水	ua̍h-tsuí
活潑	hua̍t-phuat
活結	ua̍h-kat
活賣	ua̍h-bē
活路	ua̍h-lōo
活跳跳	ua̍h-thiàu-thiàu
活錢	ua̍h-tsînn
死錢    sí-tsînn
活魚栽	hua̍t-hî-tsai
活魚栽	hua̍t-hû-tsai
派	phài
派出所	phài-tshut-sóo
派頭	phài-thâu
流	lâu
流凊汗	lâu-tshìn-kuānn
流水	lâu-tsuí
流汗流洘	lâu-kuānn-lâu-khó
流浪	liû-lōng
流湯	lâu-thng
流瀾	lâu-nuā
流產	làu-the
落胎    làu-the
流目屎	lâu ba̍k-sái
流籠	liû-lông
流糍	lâu-tsî
流血	lâu-hueh
流血	lâu-huih
流行	liû-hîng
流豬哥瀾	lâu-ti-ko-nuā
流豬哥瀾	lâu-tu-ko-nuā
流鼻	lâu-phīnn
流鼻水	lâu phīnn-tsuí
浞	tshio̍k
浡	phū
浪子	lōng-tsú
浪蕩	lōng-tōng
浪費	lōng-huì
浮	phû
浮冇	phû-phànn
浮動	phû-tāng
浮崙	phû-lūn
浮沉	phû-tîm
浮浪貢	phû-lōng-kòng
浮石	phû-tsio̍h
浴桶	i̍k-tháng
浴間仔	i̍k-king-á
海	hái
海參	hái-sim
海口	hái-kháu
海口腔	hái-kháu-khiunn
海味	hái-bī
海和尚	hái-huê-siūnn
海坪	hái-phiânn
海埔	hái-poo
海墘	hái-kînn
海岸	hái-huānn
海島	hái-tó
海峽	hái-kiap
海帶	hái-tuà
海底	hái-té
海底	hái-tué
海棠	hái-tông
海水浴場	hái-tsuí i̍k-tiûnn
海沙埔	hái-sua-poo
海洋	hái-iûnn
海海	hái-hái
海湧	hái-íng
海漲	hái-tiòng
海狗	hái-káu
海獺	hái-thuah
海瓜子	hái-kue-tsí
海產	hái-sán
海產糜	hái-sán-muê
海產糜	hái-sán-bê
海綿	hái-mî
海線	hái-suànn
海翁	hái-ang
海菜	hái-tshài
海虼蚻	hái-ka-tsua̍h
海蛇	hái-tsuâ
海豬	hái-ti
海豬	hái-tu
海豹	hái-pà
海賊	hái-tsha̍t
海量	hái-liōng
海面	hái-bīn
海風	hái-hong
海鰻	hái-muâ
海鱺仔	hái-lē-á
海龍王	Hái-lîng-ông
浸	tsìm
浸柿	tsìm-khī
消	siau
消化	siau-huà
消失	siau-sit
消定	siau-tiānn
消息	siau-sit
消敨	siau-tháu
消極	siau-ki̍k
消毒	siau-to̍k
消水	siau-tsuí
消滅	siau-bia̍t
消災解厄	siau-tsai-kái-eh
消瘦落肉	siau-sán-lo̍h-bah
消費	siau-huì
消費者	siau-huì-tsiá
消遣	siau-khián
消防隊	siau-hông-tuī
消除	siau-tû
消風	siau-hong
液	sio̍h
涵溝	âm-kau
涵空	âm-khang
涵空龜	âm-khang-ku
涼	liâng
涼亭	liâng-tîng
涼傘	niû-suànn
涼勢	liâng-sè
涼水	liâng-tsuí
涼的	liâng--ê
涼腔	liâng-khiang
涼風	liâng-hong
淋	lâm
淋水	lâm-tsuí
淋碭	lâm-thn̄g
淋雨	lâm-hōo
淑女	siok-lí
淑女	siok-lú
淘	tô
淘井	tô-tsénn
淘井	tô-tsínn
淚	luī
淡水	Tām-tsuí
淡薄仔	tām-po̍h-á
淨香	tsīng-hiunn
淪陷	lûn-hām
淫亂	îm-luān
淮山	huâi-san
深	tshim
深井	tshim-tsénn
深井	tshim-tsínn
深交	tshim-kau
深刻	tshim-khik
深坑	tshim-khenn
深坑	tshim-khinn
深夜	tshim-iā
深山林內	tshim-suann-nâ-lāi
深度	tshim-tōo
深淺	tshim-tshián
深目	tshim-ba̍k
深緣	tshim-iân
深造	tshim-tsō
混亂	hūn-luān
混合	hūn-ha̍p
淹	im
淹大水	im-tuā-tsuí
淹死	im--sí
淹水	im-tsuí
淺	tshián
淺想	tshián-siūnn
淺拖仔	tshián-thua-á
淺眠	tshián-bîn
淺緣	tshián-iân
淺色	tshián-sik
淺見	tshián-kiàn
添	thiam
添丁	thiam-ting
生兒子  tshut-ting
丁  ting
添油香	thiam-iû-hiunn
添福壽	thiam-hok-siū
添粧	thiam-tsng
添話	thinn-uē
添飯	thinn-pn̄g
清	tshing
清單	tshing-tuann
清寒	tshing-hân
清幽	tshing-iu
清廉	tshing-liâm
清彩	tshing-tshái
清心	tshing-sim
清數	tshing-siàu
清氣	tshing-khì
清氣相	tshing-khì-siùnn
清水	tshing-tsuí
清淨	tshing-tsīng
清潔	tshing-kiat
清火	tshing-hué
清火	tshing-hé
清白	tshing-pi̍k
清秀	tshing-siù
清糜	tshing-muê
清糜	tshing-bê
清芳	tshing-phang
清茶	tshing-tê
清酒	tshing-tsiú
清閒	tshing-îng
清飯	tshing-pn̄g
減	kiám
減法	kiám-huat
減省	kiám-síng
渡	tōo
渡口	tōo-kháu
渡船	tōo-tsûn
渡頭	tōo-thâu
渡鳥	tōo-tsiáu
渧	tè
測量	tshik-liông
測驗	tshik-giām
港	káng
港墘	káng-kînn
港路	káng-lōo
渴	khuah
湖	ôo
湠	thuànn
湠根	thuànn-kin
湠根	thuànn-kun
湠種	thuànn-tsíng
湠開	thuànn--khui
湢	pih
湧	íng
湯	thng
湯匙仔	thng-sî-á
湯匙仔菜	thng-sî-á-tshài
湯頭	thng-thâu
湳	làm
湳仔地	làm-á-tē
湳塗	làm-thôo
湳田	làm tshân
準	tsún
準做	tsún-tsò
準做	tsún-tsuè
準備	tsún-pī
準拄好	tsún-tú-hó
準拄煞	tsún-tú-suah
準時	tsún-sî
準算	tsún-sǹg
溜	liu
溜旋	liu-suan
溝	kau
溝仔	kau-á
溡	tshî
溢	ik
溢刺酸	ik-tshiah-sng
溢奶	ik-ling
溢奶	ik-ni
溪	khe
溪	khue
溪仔	khe-á
溪仔	khue-á
溪仔墘	khe-á-kînn
溪仔墘	khue-á-kînn
溪哥仔	khe-ko-á
溪哥仔	khue-ko-á
